0.0.0.0,0.255.255.255,ZZ,ZZ,,,,,0,0,0,,,,"Current network",,,"RFC 6890"
1.0.102.0,1.0.103.255,AS,JP,Hiroshima,Hiroshima,Higashi-ku,,34.4015,132.477,7374293,9,Asia/Tokyo,JAXX5287,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.104.0,1.0.104.255,AS,JP,Shimane,"Izumo Shi",Izumo,,35.3667,132.767,1861084,9,Asia/Tokyo,JAXX0201,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.105.0,1.0.105.255,AS,JP,Shimane,"Matsue Shi",Matsue,,35.4833,133.05,1857550,9,Asia/Tokyo,JAXX0272,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.106.0,1.0.106.127,AS,JP,Tottori,"Yonago Shi",Yonago,,35.4333,133.333,1848277,9,Asia/Tokyo,JAXX0115,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.106.128,1.0.106.255,AS,JP,Shimane,"Matsue Shi",Matsue,,35.4833,133.05,1857550,9,Asia/Tokyo,JAXX0272,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.107.0,1.0.107.63,AS,JP,Tottori,Tottori-shi,Tottori-shi,,35.5,134.233,1849892,9,Asia/Tokyo,JAXX0122,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.107.64,1.0.107.127,AS,JP,Tottori,Kurayoshi-shi,Kurayoshi,,35.4333,133.817,1858301,9,Asia/Tokyo,JAXX1026,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.107.128,1.0.107.191,AS,JP,Hiroshima,Hiroshima,Higashi-ku,,34.4015,132.477,7374293,9,Asia/Tokyo,JAXX5287,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.107.192,1.0.107.255,AS,JP,Shimane,"Matsue Shi",Matsue,,35.4833,133.05,1857550,9,Asia/Tokyo,JAXX0272,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.108.0,1.0.109.255,AS,JP,Hiroshima,Hiroshima,Higashi-ku,,34.4015,132.477,7374293,9,Asia/Tokyo,JAXX5287,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.110.0,1.0.110.255,AS,JP,Shimane,"Izumo Shi",Izumo,,35.3667,132.767,1861084,9,Asia/Tokyo,JAXX0201,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.111.0,1.0.112.255,AS,JP,Shimane,"Matsue Shi",Matsue,,35.4833,133.05,1857550,9,Asia/Tokyo,JAXX0272,"Energia Communications, Inc.",18144,,MEGAEGG
